industry,region,last_updated_at,date,value,delta,all_industries_value
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2012-10-01,52126,4336.0,2056274.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2012-10-01,21024,1191.0,2022725.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2012-10-01,27397,1417.0,1950267.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2012-10-01,14210,991.0,1183631.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2012-10-01,5216,171.0,5694823.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2012-10-01,18864,2772.0,1782779.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2012-10-01,13113,1480.0,908287.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2013-01-01,26971,-426.0,1946332.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2013-01-01,21297,273.0,2021055.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2013-01-01,13563,450.0,905568.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2013-01-01,1485,-58.0,111166.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2013-01-01,24986,-7.0,1373563.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2013-01-01,24330,-1712.0,1910736.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2013-01-01,53531,1405.0,2058843.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2013-01-01,20469,-278.0,2916490.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2013-01-01,14775,161.0,975867.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2013-01-01,21853,-428.0,1160767.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2013-01-01,5208,-8.0,5694180.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2013-01-01,14402,192.0,1183579.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2013-01-01,18599,-265.0,1781929.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2013-04-01,19067,468.0,1783489.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2013-04-01,19830,-639.0,2917110.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2013-04-01,5235,27.0,5698601.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2013-04-01,14311,-91.0,1177517.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2013-04-01,27130,159.0,1942471.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2013-04-01,20840,-457.0,2013414.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2013-04-01,20482,-1371.0,1152901.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2013-04-01,14934,159.0,974470.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2013-04-01,13300,-263.0,903446.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2013-04-01,24249,-737.0,1367775.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2013-04-01,25566,1236.0,1907717.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2013-04-01,1500,15.0,111208.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2013-04-01,52750,-781.0,2053572.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2013-07-01,20658,828.0,2924093.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2013-07-01,17989,3055.0,979000.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2013-07-01,25114,-2016.0,1941783.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2013-07-01,20933,93.0,2017930.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2013-07-01,24512,263.0,1373552.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2013-07-01,25732,166.0,1914073.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2013-07-01,51680,-1070.0,2060240.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2013-07-01,1481,-19.0,111347.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2013-07-01,20443,1376.0,1786771.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2013-07-01,5376,141.0,5699498.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2013-07-01,21157,675.0,1160999.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2013-07-01,14148,-163.0,1179430.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2013-07-01,13454,154.0,904261.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2013-10-01,25668,1156.0,1379134.0
